agent_id,agent_team,agent_skill,channel,queue,call_start,call_end,wait_time_sec,handle_time_sec,hold_time_sec,transfers,outcome,satisfaction,segment,rpc_label,cost_usd,revenue_usd,contactability_score,account_age_days,prior_calls_30d,duration_sec,date,day_of_week,hour,week,agent_id_freq,cluster,_rpc_label
536,West,Billing,phone,Billing,2025-01-01 11:28:34,2025-01-01 11:30:05,8,83,0,0,resolved,4,B,0,1.66,0.0,0.2553,70,2,91,2025-01-01,Wednesday,11,1,0.01545,0,0
515,East,Tech,phone,Billing,2025-01-01 11:32:58,2025-01-01 11:35:12,36,98,0,0,callback,4,B,0,1.96,0.0,0.3465,548,2,134,2025-01-01,Wednesday,11,1,0.01695,0,0
524,North,Tech,chat,Billing,2025-01-01 11:39:44,2025-01-01 11:41:32,45,63,0,0,resolved,5,B,0,1.26,0.0,0.1135,534,2,108,2025-01-01,Wednesday,11,1,0.01805,0,0
512,West,Tech,phone,Retention,2025-01-01 11:50:02,2025-01-01 11:51:58,10,106,0,0,resolved,5,C,0,2.83,0.0,0.1698,553,1,116,2025-01-01,Wednesday,11,1,0.0169,0,0
523,East,Tech,phone,Technical Support,2025-01-01 12:09:51,2025-01-01 12:12:18,27,120,0,0,resolved,5,A,0,3.6,0.0,0.4781,1671,1,147,2025-01-01,Wednesday,12,1,0.01755,0,0
529,East,Tech,phone,Technical Support,2025-01-01 12:26:01,2025-01-01 12:28:43,47,115,0,0,escalated,3,A,0,3.45,0.0,0.0743,1142,0,162,2025-01-01,Wednesday,12,1,0.0163,0,0
529,East,Tech,chat,Billing,2025-01-01 12:28:03,2025-01-01 12:30:05,35,87,0,0,resolved,5,B,0,1.74,0.0,0.059,1154,2,122,2025-01-01,Wednesday,12,1,0.0163,0,0
555,South,Tech,phone,Billing,2025-01-01 12:58:52,2025-01-01 13:02:30,174,40,4,0,escalated,3,A,0,0.8,0.0,0.1216,945,2,218,2025-01-01,Wednesday,12,1,0.01575,2,0
552,North,Billing,phone,Technical Support,2025-01-01 13:17:08,2025-01-01 13:18:56,21,87,0,0,escalated,5,A,0,2.61,0.0,0.214,572,0,108,2025-01-01,Wednesday,13,1,0.01605,0,0
509,West,Tech,phone,Billing,2025-01-01 13:17:38,2025-01-01 13:20:15,31,126,0,0,resolved,5,C,0,2.52,0.0,0.2664,1217,3,157,2025-01-01,Wednesday,13,1,0.01605,0,0
544,North,Tech,chat,Billing,2025-01-01 13:22:02,2025-01-01 13:23:39,36,61,0,0,callback,5,B,0,1.22,0.0,0.2894,1957,3,97,2025-01-01,Wednesday,13,1,0.01795,0,0
535,South,Tech,chat,Technical Support,2025-01-01 13:22:12,2025-01-01 13:25:28,65,131,0,1,escalated,4,C,0,3.98,0.0,0.2529,1262,3,196,2025-01-01,Wednesday,13,1,0.0163,0,0
554,East,Tech,phone,Retention,2025-01-01 13:36:55,2025-01-01 13:38:13,23,55,0,0,resolved,4,B,0,1.47,0.0,0.3322,1030,1,78,2025-01-01,Wednesday,13,1,0.0165,0,0
529,East,Tech,chat,Technical Support,2025-01-01 13:47:00,2025-01-01 13:49:28,41,107,0,0,escalated,3,B,0,3.21,0.0,0.0938,1384,1,148,2025-01-01,Wednesday,13,1,0.0163,0,0
535,South,Tech,phone,Technical Support,2025-01-01 14:32:04,2025-01-01 14:36:03,95,129,15,0,abandoned,3,A,0,3.88,0.0,0.2602,533,1,239,2025-01-01,Wednesday,14,1,0.0163,2,0
519,South,Tech,chat,Technical Support,2025-01-01 14:36:18,2025-01-01 14:41:33,52,263,0,0,resolved,4,A,0,7.89,0.0,0.1483,1301,2,315,2025-01-01,Wednesday,14,1,0.0165,1,0
523,East,Tech,chat,Technical Support,2025-01-01 14:41:43,2025-01-01 14:43:55,72,53,7,0,resolved,5,A,0,1.59,0.0,0.0545,101,1,132,2025-01-01,Wednesday,14,1,0.01755,0,0
502,North,Tech,chat,Billing,2025-01-01 14:43:11,2025-01-01 14:46:20,24,165,0,1,callback,4,B,0,3.35,0.0,0.2184,441,2,189,2025-01-01,Wednesday,14,1,0.0161,0,0
556,West,Tech,phone,Sales,2025-01-01 14:48:09,2025-01-01 14:51:25,60,136,0,0,resolved,4,A,0,2.27,10.67,0.189,315,2,196,2025-01-01,Wednesday,14,1,0.01615,0,0
548,South,Sales,phone,Billing,2025-01-01 15:18:48,2025-01-01 15:21:17,30,119,0,0,escalated,3,C,0,2.38,0.0,0.0362,1131,3,149,2025-01-01,Wednesday,15,1,0.0166,0,0
519,South,Tech,phone,Billing,2025-01-01 15:27:55,2025-01-01 15:32:29,97,170,7,0,escalated,2,B,0,3.4,0.0,0.1578,267,0,274,2025-01-01,Wednesday,15,1,0.0165,2,0
558,North,Sales,phone,Billing,2025-01-01 15:38:20,2025-01-01 15:40:29,31,98,0,0,resolved,4,B,0,1.96,0.0,0.0787,1933,1,129,2025-01-01,Wednesday,15,1,0.0166,0,0
534,East,Billing,chat,Billing,2025-01-01 15:59:29,2025-01-01 16:01:05,54,42,0,0,escalated,3,A,0,0.84,0.0,0.1687,424,1,96,2025-01-01,Wednesday,15,1,0.017,0,0
503,North,Tech,phone,Technical Support,2025-01-01 16:04:54,2025-01-01 16:07:49,38,137,0,0,callback,4,B,0,4.11,0.0,0.0062,1640,2,175,2025-01-01,Wednesday,16,1,0.0174,0,0
552,North,Billing,phone,Sales,2025-01-01 16:07:41,2025-01-01 16:09:49,31,97,0,2,resolved,4,C,0,1.72,25.98,0.0625,1991,2,128,2025-01-01,Wednesday,16,1,0.01605,0,0
519,South,Tech,phone,Billing,2025-01-01 16:08:33,2025-01-01 16:11:29,47,129,0,0,resolved,4,C,0,2.58,0.0,0.0393,1694,0,176,2025-01-01,Wednesday,16,1,0.0165,0,0
508,West,Retention,phone,Billing,2025-01-01 16:11:49,2025-01-01 16:13:07,26,52,0,0,escalated,4,B,0,1.04,0.0,0.495,1799,3,78,2025-01-01,Wednesday,16,1,0.01635,0,0
554,East,Tech,phone,Billing,2025-01-01 16:18:42,2025-01-01 16:20:33,63,47,1,0,resolved,4,A,0,0.94,0.0,0.2841,1696,3,111,2025-01-01,Wednesday,16,1,0.0165,0,0
527,East,Tech,phone,Sales,2025-01-01 16:20:23,2025-01-01 16:22:04,42,59,0,0,resolved,4,C,0,0.98,5.63,0.0453,713,1,101,2025-01-01,Wednesday,16,1,0.0163,0,0
549,South,Billing,phone,Technical Support,2025-01-01 16:30:53,2025-01-01 16:33:24,38,113,0,0,resolved,3,B,0,3.39,0.0,0.0983,636,0,151,2025-01-01,Wednesday,16,1,0.01715,0,0
523,East,Tech,phone,Retention,2025-01-01 16:44:15,2025-01-01 16:48:12,103,134,0,0,abandoned,3,C,0,3.57,0.0,0.0851,435,3,237,2025-01-01,Wednesday,16,1,0.01755,2,0
538,South,Billing,chat,Sales,2025-01-01 16:45:19,2025-01-01 16:49:39,11,249,0,0,resolved,5,B,0,4.15,0.68,0.1201,1072,2,260,2025-01-01,Wednesday,16,1,0.01715,1,0
538,South,Billing,phone,Technical Support,2025-01-01 16:50:38,2025-01-01 16:54:42,30,214,0,1,resolved,3,B,0,6.47,0.0,0.5057,817,2,244,2025-01-01,Wednesday,16,1,0.01715,1,0
537,West,Retention,chat,Technical Support,2025-01-01 16:52:08,2025-01-01 16:55:29,57,144,0,0,escalated,2,B,0,4.32,0.0,0.196,762,1,201,2025-01-01,Wednesday,16,1,0.01475,0,0
541,East,Tech,phone,Billing,2025-01-01 17:04:57,2025-01-01 17:06:52,46,69,0,0,resolved,4,A,0,1.38,0.0,0.0083,1884,2,115,2025-01-01,Wednesday,17,1,0.01605,0,0
549,South,Billing,phone,Billing,2025-01-01 17:13:05,2025-01-01 17:15:20,10,125,0,1,resolved,5,A,0,2.55,0.0,0.405,1264,3,135,2025-01-01,Wednesday,17,1,0.01715,0,0
549,South,Billing,phone,Billing,2025-01-01 17:13:30,2025-01-01 17:17:14,81,143,0,0,resolved,4,A,0,2.86,0.0,0.1985,526,0,224,2025-01-01,Wednesday,17,1,0.01715,0,0
525,North,Sales,chat,Technical Support,2025-01-01 17:18:34,2025-01-01 17:23:54,78,238,4,0,callback,3,C,0,7.14,0.0,0.1199,1717,2,320,2025-01-01,Wednesday,17,1,0.0168,1,0
543,East,Billing,phone,Billing,2025-01-01 17:24:38,2025-01-01 17:32:03,81,353,11,0,resolved,5,A,0,7.06,0.0,0.2764,437,1,445,2025-01-01,Wednesday,17,1,0.0178,1,0
504,North,Tech,phone,Billing,2025-01-01 17:28:56,2025-01-01 17:33:03,69,155,23,0,resolved,4,A,0,3.11,0.0,0.1942,280,4,247,2025-01-01,Wednesday,17,1,0.0171,2,0
554,East,Tech,email,Technical Support,2025-01-01 17:31:17,2025-01-01 17:35:33,6,250,0,2,resolved,4,B,0,7.6,0.0,0.1883,1100,0,256,2025-01-01,Wednesday,17,1,0.0165,1,0
532,North,Sales,phone,Retention,2025-01-01 17:46:14,2025-01-01 17:50:06,113,113,6,0,resolved,4,A,0,3.02,0.0,0.1162,586,0,232,2025-01-01,Wednesday,17,1,0.01585,2,0
537,West,Retention,phone,Billing,2025-01-01 18:32:36,2025-01-01 18:36:30,63,152,19,1,resolved,3,C,0,3.1,0.0,0.0906,70,3,234,2025-01-01,Wednesday,18,1,0.01475,2,0
551,North,Billing,phone,Sales,2025-01-01 18:38:13,2025-01-01 18:39:41,24,64,0,1,resolved,4,A,0,1.12,37.56,0.021,1648,3,88,2025-01-01,Wednesday,18,1,0.0159,0,0
548,South,Sales,phone,Sales,2025-01-01 18:52:44,2025-01-01 18:54:19,29,66,0,0,resolved,4,C,0,1.1,27.68,0.0806,1261,0,95,2025-01-01,Wednesday,18,1,0.0166,0,0
533,West,Billing,phone,Technical Support,2025-01-01 18:53:29,2025-01-01 18:55:12,39,64,0,1,resolved,3,B,0,1.97,0.0,0.1218,1460,1,103,2025-01-01,Wednesday,18,1,0.01725,0,0
529,East,Tech,phone,Billing,2025-01-01 19:24:43,2025-01-01 19:27:37,23,151,0,0,escalated,4,C,0,3.02,0.0,0.256,1135,0,174,2025-01-01,Wednesday,19,1,0.0163,0,0
557,East,Tech,phone,Billing,2025-01-01 20:03:06,2025-01-01 20:06:48,39,183,0,1,resolved,4,B,0,3.71,0.0,0.1286,1571,0,222,2025-01-01,Wednesday,20,1,0.0178,1,0
540,North,Tech,chat,Technical Support,2025-01-01 20:03:52,2025-01-01 20:06:20,11,137,0,0,escalated,4,C,0,4.11,0.0,0.1427,1893,2,148,2025-01-01,Wednesday,20,1,0.01705,0,0
545,South,Tech,phone,Sales,2025-01-01 20:08:20,2025-01-01 20:09:08,12,36,0,0,resolved,4,C,0,0.6,4.4,0.2778,277,2,48,2025-01-01,Wednesday,20,1,0.01575,0,0
558,North,Sales,phone,Technical Support,2025-01-01 20:24:19,2025-01-01 20:26:32,33,100,0,1,callback,3,A,0,3.05,0.0,0.3383,605,4,133,2025-01-01,Wednesday,20,1,0.0166,0,0
552,North,Billing,phone,Sales,2025-01-01 20:26:22,2025-01-01 20:27:44,6,76,0,0,resolved,5,B,1,1.27,9.41,0.2749,1943,2,82,2025-01-01,Wednesday,20,1,0.01605,0,1
510,South,Tech,chat,Billing,2025-01-01 20:42:42,2025-01-01 20:46:13,62,148,1,0,resolved,5,C,0,2.96,0.0,0.2041,103,1,211,2025-01-01,Wednesday,20,1,0.01615,0,0
525,North,Sales,phone,Technical Support,2025-01-01 20:48:07,2025-01-01 20:52:54,77,188,22,0,resolved,3,C,0,5.65,0.0,0.1655,818,6,287,2025-01-01,Wednesday,20,1,0.0168,2,0
526,South,Retention,phone,Technical Support,2025-01-01 20:54:21,2025-01-01 20:56:09,37,71,0,0,resolved,5,B,0,2.13,0.0,0.1066,1822,1,108,2025-01-01,Wednesday,20,1,0.01705,0,0
506,West,Tech,phone,Technical Support,2025-01-01 21:41:13,2025-01-01 21:47:50,53,344,0,0,resolved,3,C,0,10.32,0.0,0.0382,1356,1,397,2025-01-01,Wednesday,21,1,0.01745,1,0
538,South,Billing,chat,Billing,2025-01-01 22:41:14,2025-01-01 22:43:36,11,131,0,0,callback,3,B,0,2.62,0.0,0.2034,469,2,142,2025-01-01,Wednesday,22,1,0.01715,0,0
520,North,Billing,phone,Technical Support,2025-01-01 22:51:18,2025-01-01 22:55:45,26,241,0,0,resolved,5,B,0,7.23,0.0,0.26,1179,2,267,2025-01-01,Wednesday,22,1,0.0132,1,0
524,North,Tech,phone,Sales,2025-01-01 23:02:43,2025-01-01 23:03:54,3,68,0,0,resolved,4,B,0,1.13,13.08,0.1622,817,1,71,2025-01-01,Wednesday,23,1,0.01805,0,0
539,South,Billing,chat,Billing,2025-01-01 23:03:07,2025-01-01 23:05:06,48,71,0,0,resolved,4,A,0,1.42,0.0,0.1053,104,0,119,2025-01-01,Wednesday,23,1,0.0158,0,0
508,West,Retention,phone,Billing,2025-01-01 23:27:02,2025-01-01 23:27:53,20,31,0,0,callback,4,A,0,0.62,0.0,0.1554,423,2,51,2025-01-01,Wednesday,23,1,0.01635,0,0
508,West,Retention,phone,Technical Support,2025-01-01 23:58:04,2025-01-02 00:01:33,36,173,0,0,resolved,4,B,0,5.19,0.0,0.0516,110,4,209,2025-01-01,Wednesday,23,1,0.01635,1,0
548,South,Sales,phone,Retention,2025-01-02 00:18:09,2025-01-02 00:20:03,39,75,0,0,resolved,4,B,0,2.0,0.0,0.0921,781,2,114,2025-01-02,Thursday,0,1,0.0166,0,0
517,North,Sales,phone,Sales,2025-01-02 00:54:14,2025-01-02 00:56:12,57,61,0,0,callback,3,B,0,1.02,6.46,0.1202,902,2,118,2025-01-02,Thursday,0,1,0.0161,0,0
536,West,Billing,chat,Technical Support,2025-01-02 01:13:16,2025-01-02 01:16:00,27,137,0,1,escalated,4,A,0,4.16,0.0,0.4404,1845,4,164,2025-01-02,Thursday,1,1,0.01545,0,0
508,West,Retention,phone,Technical Support,2025-01-02 01:46:47,2025-01-02 01:50:48,25,216,0,0,resolved,3,B,0,6.48,0.0,0.1582,1568,3,241,2025-01-02,Thursday,1,1,0.01635,1,0
531,West,Sales,email,Technical Support,2025-01-02 02:35:50,2025-01-02 02:37:42,29,83,0,0,callback,5,A,0,2.49,0.0,0.2948,1747,3,112,2025-01-02,Thursday,2,1,0.0176,0,0
529,East,Tech,phone,Sales,2025-01-02 02:43:11,2025-01-02 02:45:34,8,135,0,0,resolved,4,C,0,2.25,11.12,0.0314,1266,1,143,2025-01-02,Thursday,2,1,0.0163,0,0
522,South,Billing,chat,Technical Support,2025-01-02 02:59:09,2025-01-02 03:00:51,17,85,0,0,resolved,4,A,0,2.55,0.0,0.0523,104,0,102,2025-01-02,Thursday,2,1,0.01595,0,0
541,East,Tech,phone,Retention,2025-01-02 03:09:47,2025-01-02 03:13:14,18,189,0,0,resolved,4,B,0,5.04,0.0,0.077,1031,1,207,2025-01-02,Thursday,3,1,0.01605,1,0
500,East,Tech,phone,Technical Support,2025-01-02 03:42:27,2025-01-02 03:44:11,19,85,0,0,callback,3,C,0,2.55,0.0,0.1489,827,1,104,2025-01-02,Thursday,3,1,0.0171,0,0
510,South,Tech,chat,Technical Support,2025-01-02 03:48:25,2025-01-02 03:54:08,30,313,0,0,callback,3,A,0,9.39,0.0,0.2588,1462,4,343,2025-01-02,Thursday,3,1,0.01615,1,0
543,East,Billing,chat,Billing,2025-01-02 04:31:55,2025-01-02 04:36:38,42,241,0,0,resolved,5,B,0,4.82,0.0,0.1202,224,1,283,2025-01-02,Thursday,4,1,0.0178,1,0
530,West,Sales,phone,Technical Support,2025-01-02 06:38:41,2025-01-02 06:41:45,54,130,0,0,escalated,3,C,0,3.9,0.0,0.203,1104,2,184,2025-01-02,Thursday,6,1,0.0165,0,0
554,East,Tech,phone,Technical Support,2025-01-02 06:58:13,2025-01-02 07:01:01,28,140,0,0,callback,5,B,0,4.2,0.0,0.0783,1859,2,168,2025-01-02,Thursday,6,1,0.0165,0,0
527,East,Tech,phone,Billing,2025-01-02 07:12:53,2025-01-02 07:15:57,55,129,0,0,resolved,3,A,0,2.58,0.0,0.2095,724,3,184,2025-01-02,Thursday,7,1,0.0163,0,0
528,West,Retention,phone,Billing,2025-01-02 07:28:44,2025-01-02 07:29:59,24,51,0,0,resolved,5,B,0,1.02,0.0,0.0648,1531,2,75,2025-01-02,Thursday,7,1,0.017,0,0
549,South,Billing,phone,Billing,2025-01-02 07:59:53,2025-01-02 08:03:36,55,168,0,0,resolved,5,C,0,3.36,0.0,0.1462,1363,3,223,2025-01-02,Thursday,7,1,0.01715,0,0
556,West,Tech,phone,Technical Support,2025-01-02 08:02:38,2025-01-02 08:05:13,10,145,0,0,resolved,4,B,0,4.35,0.0,0.3751,668,1,155,2025-01-02,Thursday,8,1,0.01615,0,0
506,West,Tech,phone,Billing,2025-01-02 08:04:53,2025-01-02 08:07:38,8,157,0,1,resolved,5,B,0,3.19,0.0,0.1726,801,0,165,2025-01-02,Thursday,8,1,0.01745,0,0
513,North,Tech,chat,Sales,2025-01-02 08:06:20,2025-01-02 08:07:11,3,48,0,0,resolved,4,B,0,0.8,46.45,0.1963,1719,2,51,2025-01-02,Thursday,8,1,0.0162,0,0
546,North,Retention,phone,Retention,2025-01-02 08:07:58,2025-01-02 08:10:04,23,103,0,0,escalated,3,C,0,2.75,0.0,0.1021,1065,1,126,2025-01-02,Thursday,8,1,0.0175,0,0
515,East,Tech,phone,Technical Support,2025-01-02 08:12:03,2025-01-02 08:14:12,43,86,0,0,resolved,4,A,0,2.58,0.0,0.2731,1737,2,129,2025-01-02,Thursday,8,1,0.01695,0,0
540,North,Tech,chat,Retention,2025-01-02 08:18:04,2025-01-02 08:20:05,30,91,0,0,resolved,4,C,0,2.43,0.0,0.0358,1370,2,121,2025-01-02,Thursday,8,1,0.01705,0,0
513,North,Tech,phone,Retention,2025-01-02 08:26:12,2025-01-02 08:28:24,52,80,0,0,abandoned,3,C,0,2.13,0.0,0.0952,921,1,132,2025-01-02,Thursday,8,1,0.0162,0,0
513,North,Tech,phone,Technical Support,2025-01-02 08:29:14,2025-01-02 08:31:39,25,120,0,0,resolved,4,B,0,3.6,0.0,0.1904,348,0,145,2025-01-02,Thursday,8,1,0.0162,0,0
500,East,Tech,phone,Retention,2025-01-02 09:29:28,2025-01-02 09:31:34,24,102,0,0,resolved,4,C,0,2.72,0.0,0.2363,465,1,126,2025-01-02,Thursday,9,1,0.0171,0,0
505,West,Billing,phone,Technical Support,2025-01-02 09:41:55,2025-01-02 09:43:44,29,80,0,1,resolved,5,C,0,2.45,0.0,0.1798,1162,3,109,2025-01-02,Thursday,9,1,0.01535,0,0
552,North,Billing,chat,Technical Support,2025-01-02 10:09:52,2025-01-02 10:12:50,65,104,9,1,resolved,5,A,0,3.17,0.0,0.0207,1769,0,178,2025-01-02,Thursday,10,1,0.01605,2,0
549,South,Billing,phone,Retention,2025-01-02 10:39:17,2025-01-02 10:41:15,58,60,0,0,resolved,5,C,0,1.6,0.0,0.0302,369,1,118,2025-01-02,Thursday,10,1,0.01715,0,0
515,East,Tech,phone,Billing,2025-01-02 10:42:39,2025-01-02 10:43:25,12,34,0,0,callback,5,B,0,0.68,0.0,0.236,236,2,46,2025-01-02,Thursday,10,1,0.01695,0,0
544,North,Tech,phone,Sales,2025-01-02 11:04:09,2025-01-02 11:05:54,17,88,0,0,resolved,5,B,0,1.47,71.94,0.2085,530,1,105,2025-01-02,Thursday,11,1,0.01795,0,0
526,South,Retention,phone,Billing,2025-01-02 11:19:08,2025-01-02 11:22:32,92,111,1,0,escalated,5,C,0,2.22,0.0,0.1375,1220,0,204,2025-01-02,Thursday,11,1,0.01705,0,0
527,East,Tech,phone,Technical Support,2025-01-02 11:27:44,2025-01-02 11:36:42,83,453,2,0,resolved,3,B,0,13.59,0.0,0.1607,1257,2,538,2025-01-02,Thursday,11,1,0.0163,1,0
509,West,Tech,phone,Sales,2025-01-02 11:35:10,2025-01-02 11:36:51,26,75,0,0,abandoned,3,B,0,1.25,8.47,0.1148,1263,2,101,2025-01-02,Thursday,11,1,0.01605,0,0
547,North,Billing,phone,Retention,2025-01-02 11:39:33,2025-01-02 11:41:26,43,70,0,0,resolved,5,A,0,1.87,0.0,0.1671,229,5,113,2025-01-02,Thursday,11,1,0.0182,0,0
521,North,Sales,chat,Technical Support,2025-01-02 11:53:25,2025-01-02 11:56:25,53,127,0,0,callback,4,B,0,3.81,0.0,0.0458,145,2,180,2025-01-02,Thursday,11,1,0.01765,0,0
514,East,Billing,email,Billing,2025-01-02 11:55:08,2025-01-02 11:56:47,4,95,0,0,escalated,4,B,0,1.9,0.0,0.0246,586,2,99,2025-01-02,Thursday,11,1,0.0159,0,0
533,West,Billing,phone,Technical Support,2025-01-02 12:12:33,2025-01-02 12:15:10,46,111,0,0,resolved,4,B,0,3.33,0.0,0.2216,931,2,157,2025-01-02,Thursday,12,1,0.01725,0,0
551,North,Billing,chat,Technical Support,2025-01-02 12:22:43,2025-01-02 12:26:05,37,165,0,0,escalated,5,A,0,4.95,0.0,0.0705,1446,1,202,2025-01-02,Thursday,12,1,0.0159,1,0
535,South,Tech,phone,Retention,2025-01-02 12:44:06,2025-01-02 12:45:52,37,69,0,0,resolved,4,C,0,1.84,0.0,0.3535,93,2,106,2025-01-02,Thursday,12,1,0.0163,0,0
500,East,Tech,phone,Technical Support,2025-01-02 12:44:52,2025-01-02 12:49:43,44,247,0,0,resolved,4,A,0,7.41,0.0,0.0451,252,1,291,2025-01-02,Thursday,12,1,0.0171,1,0
526,South,Retention,phone,Technical Support,2025-01-02 12:46:55,2025-01-02 12:50:02,17,170,0,0,escalated,4,B,0,5.1,0.0,0.1275,625,1,187,2025-01-02,Thursday,12,1,0.01705,1,0
514,East,Billing,chat,Billing,2025-01-02 12:58:47,2025-01-02 13:00:08,37,44,0,0,resolved,4,B,0,0.88,0.0,0.2689,1166,3,81,2025-01-02,Thursday,12,1,0.0159,0,0
534,East,Billing,phone,Billing,2025-01-02 13:07:58,2025-01-02 13:10:11,23,110,0,0,abandoned,2,A,0,2.2,0.0,0.0428,254,0,133,2025-01-02,Thursday,13,1,0.017,0,0
